dataset,variant,score,auc,ci_low,ci_high,real_mean,ai_mean,mean_difference_ai_minus_real,cohens_d
SID,clean,low_to_high_error,0.5164434999999999,0.48934875000000005,0.54301515,0.1484106333516538,0.15156399009749294,0.0031533567458391365,0.06665936112125873
SID,clean,high_to_low_error,0.5660045,0.541578475,0.592582775,1.0165025211274623,1.0668947745561599,0.050392253428697575,0.2386041873561316
SID,clean,reconstruction_error,0.5576205000000001,0.5327004249999999,0.5822938625,0.5824565765559673,0.6092293825447559,0.026772805988788617,0.21713943914425388
SID,clean,anomaly_full_low,0.48119249999999997,0.45304612499999997,0.5070242125,0.0013055625557899476,0.0012106121182441712,-9.495043754577642e-05,-0.11671271327816676
SID,clean,anomaly_full_high,0.5102424999999999,0.4854892625,0.5363341125,0.0005000129342079163,0.0004871020913124084,-1.2910842895507877e-05,-0.0739826138404735
SID,clean,anomaly_low_high,0.4860305,0.46106292499999996,0.510065975,0.0018012991547584534,0.001682538628578186,-0.00011876052618026742,-0.11000755427871253
SID,clean,latent_anomaly,0.4858975,0.45905627500000007,0.511986575,0.0012022915809066035,0.0011267509789322503,-7.55406019743532e-05,-0.1150021516879225
SID,clean,combined_anomaly,0.5433589999999999,0.5165473,0.5680086999999999,0.014308673240458017,0.06157986718929591,0.04727119394883789,0.07173704472996988
SID,jpeg_q60,low_to_high_error,0.526018,0.49884724999999996,0.552920775,0.14209865627810359,0.1467936611957848,0.004695004917681211,0.09856344551056324
SID,jpeg_q60,high_to_low_error,0.56536,0.54124045,0.592047625,1.0032322398275137,1.0518924555182456,0.04866021569073187,0.23683009863687463
SID,jpeg_q60,reconstruction_error,0.558573,0.533102275,0.58394155,0.5726654472053051,0.5993430585265159,0.026677611321210826,0.221299160277347
SID,jpeg_q60,anomaly_full_low,0.45742950000000004,0.43009465,0.48067374999999996,0.0012662991881370544,0.0011329275965690612,-0.00013337159156799313,-0.19003747684060612
SID,jpeg_q60,anomaly_full_high,0.5117695,0.48693945,0.5388521250000001,0.00048561465740203856,0.0004736706018447876,-1.1944055557250972e-05,-0.0740292850380697
SID,jpeg_q60,anomaly_low_high,0.46173,0.436859025,0.48569637500000007,0.001723903775215149,0.0015520640611648559,-0.0001718397140502931,-0.181382480163554
SID,jpeg_q60,latent_anomaly,0.4639145,0.43592117499999994,0.490109075,0.0011586059073451906,0.001052887451602146,-0.00010571845574304452,-0.18451587047619256
SID,jpeg_q60,combined_anomaly,0.5323979999999999,0.505682175,0.55670675,-0.056165738647183217,-0.03177064198448689,0.024395096662696326,0.04108712189432011
SID,jpeg_q30,low_to_high_error,0.528416,0.50086715,0.55498495,0.1353468400798738,0.14014551758021115,0.004798677500337356,0.1091783831407986
SID,jpeg_q30,high_to_low_error,0.562361,0.5383042499999999,0.589485175,1.0042287897020579,1.0498851271867753,0.045656337484717424,0.22774472011209917
SID,jpeg_q30,reconstruction_error,0.5562374999999999,0.5313284,0.5817274625,0.5697878150045872,0.5950153220295906,0.025227507025003426,0.21459421842995635
SID,jpeg_q30,anomaly_full_low,0.44736600000000004,0.42073957500000003,0.470627025,0.0013317514061927794,0.001199372112751007,-0.00013237929344177236,-0.20394235536564873
SID,jpeg_q30,anomaly_full_high,0.5114339999999999,0.48597263749999997,0.5373210125,0.0004939184784889221,0.0004800179600715637,-1.390051841735837e-05,-0.08673221399213413
SID,jpeg_q30,anomaly_low_high,0.44051099999999993,0.4161752625,0.4637588625,0.0018078015446662903,0.0016161248683929444,-0.00019167667627334592,-0.2270303116931026
SID,jpeg_q30,latent_anomaly,0.44705799999999996,0.4206398,0.47226516249999995,0.0012111571771383752,0.0010985050130984746,-0.00011265216403990056,-0.2162554264510574
SID,jpeg_q30,combined_anomaly,0.522038,0.49681992500000005,0.547439175,-0.028107749119999834,-0.014496022972518723,0.013611726147481112,0.02492459133128129
SID,blur_sigma1,low_to_high_error,0.5312009999999999,0.505057425,0.557392075,0.12485467678681016,0.12912825927510857,0.004273582488298414,0.10104661381030355
SID,blur_sigma1,high_to_low_error,0.556712,0.53154395,0.5839121,0.9326736176908016,0.9714214242696763,0.038747806578874666,0.19814174581801905
SID,blur_sigma1,reconstruction_error,0.553973,0.529601025,0.5787026000000001,0.5287641468048095,0.5502748418152332,0.021510695010423686,0.1878962767600479
SID,blur_sigma1,anomaly_full_low,0.5841745,0.55985715,0.6100028875,0.004650593936443329,0.005020203769207001,0.00036960983276367217,0.2562796533748916
SID,blur_sigma1,anomaly_full_high,0.503008,0.47807252499999997,0.5303377375,0.0011548864245414733,0.0011099666357040406,-4.491978883743269e-05,-0.17571316785498362
SID,blur_sigma1,anomaly_low_high,0.5592195,0.5317563125,0.5858519625,0.005520544469356537,0.00576708436012268,0.0002465398907661436,0.17050976860392505
SID,blur_sigma1,latent_anomaly,0.5694755,0.54526375,0.594685675,0.0037753417250933124,0.003965751702198758,0.00019040997710544592,0.2009366812781213
SID,blur_sigma1,combined_anomaly,0.5744469999999999,0.5480130249999999,0.598071775,1.7255864931565734,1.9508482367093047,0.22526174355273132,0.2254403725733305
SID,blur_sigma2,low_to_high_error,0.504478,0.478723425,0.5307195250000001,0.05578770763799548,0.05572727982327342,-6.0427814722062434e-05,-0.006457490770772772
SID,blur_sigma2,high_to_low_error,0.5777,0.5533285250000001,0.603900825,1.4290687325000764,1.5155740632414818,0.08650533074140543,0.3074414874761901
SID,blur_sigma2,reconstruction_error,0.576414,0.5525180249999999,0.600238325,0.7424282200336456,0.7856506716012954,0.04322245156764981,0.3019040510940805
SID,blur_sigma2,anomaly_full_low,0.576148,0.5494298750000001,0.5993737625000001,0.006352579712867737,0.006480448663234711,0.00012786895036697409,0.2108196696720701
SID,blur_sigma2,anomaly_full_high,0.5241685,0.49840155,0.5508886999999999,0.009539739191532136,0.009634717404842376,9.497821331024003e-05,0.060608215833900754
SID,blur_sigma2,anomaly_low_high,0.4770695,0.4507615125,0.502934,0.019722631692886353,0.019443750083446502,-0.00027888160943985094,-0.12666813927017886
SID,blur_sigma2,latent_anomaly,0.508226,0.4836423875,0.5329516875,0.01187165050394833,0.011852972366847098,-1.8678137101232548e-05,-0.01424873508150413
SID,blur_sigma2,combined_anomaly,0.553474,0.526925375,0.578725725,8.590984075398222,8.744326153838974,0.15334207844075287,0.16106106810279933
SID,blur2_jpeg30,low_to_high_error,0.5173535,0.4922276625,0.544255975,0.03725517085008323,0.037411140520125626,0.00015596967004239543,0.027321493731107545
SID,blur2_jpeg30,high_to_low_error,0.5777175,0.5516137999999999,0.603785625,1.3474573329389095,1.4308750584125518,0.08341772547364235,0.3145224372865476
SID,blur2_jpeg30,reconstruction_error,0.577408,0.55357865,0.6014867249999999,0.6923562524914741,0.7341430991590023,0.04178684666752819,0.3125809412624982
SID,blur2_jpeg30,anomaly_full_low,0.4979705,0.4706387875,0.522174525,0.004333637535572052,0.004289113938808441,-4.4523596763611055e-05,-0.07932740986736614
SID,blur2_jpeg30,anomaly_full_high,0.483354,0.45677299999999993,0.50775045,0.00433711051940918,0.004238623023033142,-9.84874963760379e-05,-0.1327256374494923
SID,blur2_jpeg30,anomaly_low_high,0.4559935,0.4318892375,0.48168775,0.008763264238834381,0.008378677964210511,-0.0003845862746238698,-0.23035633704739203
SID,blur2_jpeg30,latent_anomaly,0.46758700000000003,0.4422888,0.4916427,0.005811337591381744,0.005635471808258444,-0.0001758657831232996,-0.1990295683247888
SID,blur2_jpeg30,combined_anomaly,0.521773,0.49592735,0.5460957,3.877211785704806,3.907762011269884,0.030550225565078026,0.04952131939415587
CompEval,clean,low_to_high_error,0.43574999999999997,0.41045895000000004,0.460572075,0.16608707473240794,0.14864179943501948,-0.017445275297388457,-0.23231928132145294
CompEval,clean,high_to_low_error,0.48024999999999995,0.4557823,0.50417705,1.0373982114046811,1.0072237101346255,-0.03017450127005561,-0.1000145256751972
CompEval,clean,reconstruction_error,0.46769099999999997,0.44240505,0.491626925,0.6017426434904337,0.5779327541664243,-0.023809889324009403,-0.13463628624169777
CompEval,clean,anomaly_full_low,0.4508335,0.42639930000000004,0.4774409375,0.0018415042757987975,0.001636447012424469,-0.00020505726337432845,-0.11816182422765102
CompEval,clean,anomaly_full_high,0.5184975,0.492587725,0.5453010375,0.0006042047142982483,0.0006311299800872802,2.692526578903197e-05,0.057965573956538834
CompEval,clean,anomaly_low_high,0.4664435,0.4386022375,0.4907255,0.0024552454948425294,0.0022592365741729735,-0.0001960089206695559,-0.10470752997406335
CompEval,clean,latent_anomaly,0.46239600000000003,0.43724504999999997,0.48754623750000003,0.0016336515414877794,0.0015089378975681029,-0.00012471364391967651,-0.09887406204936935
CompEval,clean,combined_anomaly,0.439365,0.41507035,0.46427070000000004,0.4106698543810999,0.22550872563673544,-0.18516112874436444,-0.16794988795810906
CompEval,jpeg_q60,low_to_high_error,0.434053,0.409012625,0.459800375,0.16097545548342168,0.1428385766632855,-0.018136878820136176,-0.23545752559616748
CompEval,jpeg_q60,high_to_low_error,0.48120799999999997,0.45615392499999996,0.5053805999999998,1.022583033040166,0.9945471635311842,-0.028035869508981737,-0.09581319190883085
CompEval,jpeg_q60,reconstruction_error,0.467514,0.442256575,0.49192652500000006,0.5917792442739009,0.568692870542407,-0.023086373731493914,-0.13363354366188931
CompEval,jpeg_q60,anomaly_full_low,0.451986,0.42663745,0.479118675,0.001752374529838562,0.0015545561909675598,-0.00019781833887100222,-0.11916982428419243
CompEval,jpeg_q60,anomaly_full_high,0.5121825,0.484891775,0.5387609999999999,0.0005965098738670349,0.0006126359701156616,1.6126096248626678e-05,0.03579169712695592
CompEval,jpeg_q60,anomaly_low_high,0.4617695,0.43433145000000006,0.486750125,0.0023343115448951723,0.002137691140174866,-0.00019662040472030653,-0.11297428648682341
CompEval,jpeg_q60,latent_anomaly,0.45974050000000005,0.43622635,0.48525998749999993,0.0015610653590410948,0.0014349611409998034,-0.00012610421804129133,-0.10606407612363407
CompEval,jpeg_q60,combined_anomaly,0.43421099999999996,0.40997722499999995,0.460196725,0.3179737487323525,0.13457552030566358,-0.18339822842668893,-0.17702929882964624
CompEval,jpeg_q30,low_to_high_error,0.439765,0.41509875000000007,0.46548169999999994,0.15051671659201385,0.13515389637649058,-0.015362820215523265,-0.21763657692527077
CompEval,jpeg_q30,high_to_low_error,0.481661,0.45656997499999996,0.5055679499999999,1.0226297562867404,0.9948565098643303,-0.02777324642241008,-0.0966964601041718
CompEval,jpeg_q30,reconstruction_error,0.47041599999999995,0.4443192,0.49438287499999994,0.5865732360482215,0.5650052026808262,-0.021568033367395323,-0.12763923495070179
CompEval,jpeg_q30,anomaly_full_low,0.4698845,0.44611144999999996,0.49610959999999993,0.001681142032146454,0.0015499985218048096,-0.0001311435103416444,-0.0839445743652363
CompEval,jpeg_q30,anomaly_full_high,0.5059795,0.478900475,0.532259775,0.0005974571108818054,0.0006061373949050904,8.680284023284985e-06,0.0197108005050694
CompEval,jpeg_q30,anomaly_low_high,0.469096,0.44088641250000005,0.496808625,0.002279241442680359,0.002117115139961243,-0.00016212630271911612,-0.10172632399032092
